"DATE","WIND","IND","RAIN","IND.1","T.MAX","IND.2","T.MIN","T.MIN.G"
1961-05-20,4.71,"0",0,"0",14.7,"0",9,7.2
1961-05-21,3.17,"0",0,"0",15.2,"0",3.4,-0.7
1961-05-22,2.42,"0",0,"0",14.4,"0",6.2,1.1
1961-05-23,3.13,"0",0,"0",14.5,"0",9.4,8.7
1961-05-24,4,"0",0.2,"0",14.6,"0",10.4,10
1961-05-25,6.79,"0",1.6,"0",12.7,"0",8.1,8.4
1961-05-26,9.33,"0",0,"0",10.6,"0",4.6,2.2
1961-05-27,4.92,"0",0,"0",12.5,"0",3.2,-1.2
1961-05-28,5.41,"0",0,"0",14,"0",1,-2.8
1961-05-29,11.71,"0",1.8,"0",13.3,"0",9.2,7.5
1961-05-30,5.83,"0",0,"0",14.2,"0",10,8.1
1961-05-31,6.58,"0",0,"0",17,"0",7.8,3.3
1961-06-01,9.75,"0",0,"0",17,"0",5,3.2
1961-06-02,7.92,"0",0,"0",17.8,"0",10.5,10.1
1961-06-03,10.41,"0",0,"0",18.7,"0",11.7,10.8
1961-06-04,6.21,"0",0,"0",20.8,"0",11.3,10.5
1961-06-05,3.42,"0",9.4,"2",17,"0",12.7,11.7
1961-06-06,4.21,"0",0.3,"0",16.7,"0",11.5,10.6
1961-06-07,8.17,"0",4.8,"0",17.7,"0",8.8,6.6
1961-06-08,9.54,"0",0.7,"0",15.5,"0",7.6,6.1
1961-06-09,8.29,"0",1.8,"0",17.2,"0",6.1,4.4
1961-06-10,9.71,"0",1.6,"0",15.7,"0",10.4,9.6
1961-06-11,6.25,"0",3.6,"0",16.6,"0",9,8.4
1961-06-12,9.17,"0",1,"0",13.6,"0",10.5,9
1961-06-13,4.67,"0",0.2,"0",18,"0",6.2,3.2
1961-06-14,5.66,"0",1.2,"0",18.8,"0",6.4,2.2
1961-06-15,8.25,"0",0.1,"0",18.8,"0",13.1,10.4
1961-06-16,10.54,"0",0.2,"0",19.6,"0",7.7,4.7
1961-06-17,12.96,"0",0.8,"0",20,"0",15,14.4
1961-06-18,13.7,"0",0,"0",17.6,"0",9.5,7.2
1961-06-19,10.37,"0",0,"0",17.3,"0",8.7,6.4
1961-06-20,7.92,"0",0,"0",16.6,"0",8.7,8.7
1961-06-21,10.54,"0",1.6,"0",19.4,"0",7.2,2.1
1961-06-22,13.29,"0",0,"0",18.5,"0",11.6,11.5
1961-06-23,14.21,"0",0,"0",22.4,"0",11.6,9.4
1961-06-24,14.88,"0",0,"0",23,"0",11.5,6.7
1961-06-25,11.87,"0",2.8,"0",21.6,"0",12.1,11.4
1961-06-26,8.38,"0",0,"0",15.2,"0",11.6,11.5
1961-06-27,10.54,"0",0,"0",16.7,"0",6.1,3.5
1961-06-28,8.79,"0",0,"0",19.5,"0",8.1,2.4
1961-06-29,8.33,"0",0,"0",22.2,"0",11.1,8.5
1961-06-30,4.92,"0",0,"0",23.4,"0",11.6,9
1961-07-01,6.71,"0",0,"0",19.4,"0",15.5,14.4
1961-07-02,5.83,"0",0,"0",20.1,"0",12.1,11.5
1961-07-03,15.75,"0",0.6,"0",18.3,"0",9.5,7.2
1961-07-04,14.92,"0",0,"0",18.2,"0",10.6,9.8
1961-07-05,10.08,"0",0,"0",20,"0",7.1,4.5
1961-07-06,7.08,"0",0.1,"0",20.2,"0",8,4.4
1961-07-07,14.54,"0",0.2,"0",21.2,"0",13.6,12.2
1961-07-08,14.04,"0",0,"0",18.3,"0",14.4,13.7
1961-07-09,9.46,"0",6.4,"0",18.4,"0",12.3,11.2
1961-07-10,2.67,"0",6.6,"0",17.3,"0",12.2,11.7
1961-07-11,7.41,"0",5.4,"0",17.4,"0",12.8,12.8
1961-07-12,9.08,"0",0.4,"0",19,"0",13.3,10.1
1961-07-13,16.83,"0",21.4,"0",13.8,"0",9,8.4
1961-07-14,11.83,"0",0.1,"0",17.4,"0",8.3,8.6
1961-07-15,10.25,"0",2.6,"0",18.8,"0",7.6,5.8
1961-07-16,13.13,"0",0.1,"0",15.6,"0",11,10.1
1961-07-17,7.08,"0",0,"0",19.7,"0",10.5,8.8
1961-07-18,4.96,"0",0,"0",19.3,"0",10.5,6.8
1961-07-19,3.5,"0",0,"0",18.7,"0",7.6,3.4
1961-07-20,3.04,"0",0,"0",18.3,"0",12.1,11.2
1961-07-21,2.21,"0",0,"0",16,"0",11.7,7.7
1961-07-22,4.75,"0",0,"0",17.1,"0",8.1,8.8
1961-07-23,2.21,"0",0,"0",17.3,"0",10,7.7
1961-07-24,3.58,"0",0,"0",18.3,"0",11.1,8.6
1961-07-25,12.29,"0",1.6,"0",20.6,"0",11.6,9.2
1961-07-26,18.79,"0",0,"0",17.5,"0",12.7,11.3
1961-07-27,7.87,"0",2.6,"0",16.7,"0",10.2,11.2
1961-07-28,9.67,"0",0,"0",17.8,"0",7.7,5.5
1961-07-29,5.79,"0",0,"0",18.2,"0",11.2,10.5
1961-07-30,6.04,"0",0,"0",21.4,"0",8.2,5.3
1961-07-31,3.75,"0",0,"0",17.7,"0",11.7,10.7
1961-08-01,4.21,"0",0.7,"0",17.1,"0",7.3,3.7
1961-08-02,8.87,"0",0.9,"0",17.8,"0",10.4,9
1961-08-03,11.92,"0",5.1,"0",19.3,"0",9.1,6
1961-08-04,13.54,"0",0,"0",20.6,"0",13.4,13.1
1961-08-05,10.54,"0",0,"0",19.5,"0",7.6,3.3
1961-08-06,7.87,"0",0.1,"0",18.3,"0",13.1,8.4
1961-08-07,3.88,"0",15,"2",14.4,"0",6.1,1.6
1961-08-08,10.63,"0",1.1,"0",19,"0",10,9.8
1961-08-09,11.25,"0",1.9,"0",18.3,"0",10.4,8.4
1961-08-10,4.67,"0",1.2,"0",16.6,"0",9,6.2
1961-08-11,6.83,"0",0.2,"0",16.6,"0",8.8,6.2
1961-08-12,6.83,"0",0.8,"0",19.1,"0",5.6,2.2
1961-08-13,10.92,"0",0.1,"0",18.4,"0",11.2,10.2
1961-08-14,15.09,"0",0.4,"0",18.8,"0",11.6,9.7
1961-08-15,9.42,"0",0.3,"0",18.3,"0",12.2,12
1961-08-16,12.96,"0",0,"0",19,"0",11.1,10.7
1961-08-17,10.21,"0",0.4,"0",21.7,"0",11.2,9.3
1961-08-18,19.04,"0",0.8,"0",17,"0",12.5,13.3
1961-08-19,13.21,"0",0.3,"0",15.6,"0",12,11.5
1961-08-20,12.58,"0",9.5,"0",21,"0",11.3,10.1
1961-08-21,19,"0",0.2,"0",17.3,"0",13,12.2
1961-08-22,12.08,"0",0,"0",17.2,"0",10.5,10.5
1961-08-23,8.17,"0",5,"0",21.6,"0",11.6,10.7
1961-08-24,5.66,"0",0,"0",18,"0",6.4,5
1961-08-25,10.92,"0",1.8,"0",19.4,"0",12.8,12.8
1961-08-26,9.79,"0",1.1,"0",18.2,"0",8.6,5.2
1961-08-27,12.12,"0",0,"0",21.7,"0",12.1,9.5
1961-08-28,9.08,"0",0,"0",24.6,"0",12.6,9.4
1961-08-29,14.12,"0",0,"0",22.7,"0",17.8,14.8
1961-08-30,4.58,"0",0,"0",20,"0",9.4,4.8
1961-08-31,2.92,"0",0.1,"0",21.1,"0",5,4.4
1961-09-01,4.63,"0",0.1,"0",21,"0",11.1,1.3
1961-09-02,3.83,"0",0.1,"0",20.5,"0",12.3,10.4
1961-09-03,5.88,"0",0,"0",16.1,"0",13.7,13.7
1961-09-04,1.25,"0",0,"0",18.3,"0",14.4,14.4
1961-09-05,9.38,"0",0.2,"0",15.6,"0",10.6,8.4
1961-09-06,14.09,"0",3.4,"0",16.6,"0",9.6,8.1
1961-09-07,7.87,"0",0,"0",15.8,"0",6.7,5
1961-09-08,3.17,"0",0,"0",17.7,"0",6.6,3.2
1961-09-09,6.92,"0",7.9,"0",20.2,"0",5.6,2.3
1961-09-10,4.83,"0",0,"0",21.4,"0",13.4,10.5
1961-09-11,8.63,"0",2.8,"0",18.2,"0",10.5,6.4
1961-09-12,11.08,"0",0.5,"0",19.5,"0",10,6.8
1961-09-13,11.75,"0",0.8,"0",19.1,"0",12.6,10.7
1961-09-14,12.75,"0",1,"0",19.5,"0",10.4,7.8
1961-09-15,13,"0",0.5,"0",19.4,"0",13.1,12.4
1961-09-16,20.79,"0",0,"2",19.5,"0",12.7,13.3
1961-09-17,7.87,"0",0,"0",20,"0",10.5,7.2
1961-09-18,4.17,"0",0.1,"0",18.4,"0",5.1,1.3
1961-09-19,8.17,"0",9,"0",21.6,"0",11.6,8.1
1961-09-20,4.79,"0",9.8,"0",17.6,"0",11.1,9.4
1961-09-21,6.46,"0",0,"0",18.3,"0",13.2,12.6
1961-09-22,4.12,"0",0.4,"0",20.7,"0",4.2,0.2
1961-09-23,6.08,"0",2.8,"0",20.3,"0",13.3,12.1
1961-09-24,5.91,"0",0,"0",16.7,"0",5.7,5
1961-09-25,8.92,"0",0,"0",15.5,"0",4.6,0.5
1961-09-26,12.46,"0",1.2,"0",16.6,"0",12.2,9.8
1961-09-27,8.08,"0",32,"0",14.5,"0",8.1,4.5
1961-09-28,9.13,"0",6.1,"0",14.4,"0",10.5,10
1961-09-29,9.21,"0",1.2,"0",16.8,"0",8,2.2
1961-09-30,10.96,"0",0,"0",14.8,"0",8.5,4.6
1961-10-01,5.83,"0",0.5,"0",16,"0",10.3,7.6
1961-10-02,8.71,"0",3.4,"0",17.7,"0",10.4,8.4
1961-10-03,4.04,"0",7.3,"0",15.5,"0",13.8,10.6
1961-10-04,3.5,"0",4,"0",12.7,"0",6.6,5.1
1961-10-05,5.63,"0",1.8,"0",14.7,"0",8.8,9.7
1961-10-06,12.96,"0",3,"0",15,"0",11,9.5
1961-10-07,6.87,"0",0.6,"0",14.6,"0",4.3,2.7
1961-10-08,10.17,"0",1.6,"0",15.1,"0",6.4,2.7
1961-10-09,9.04,"0",1.7,"0",17.5,"0",7.8,2.7
1961-10-10,11.75,"0",0.9,"0",16.6,"0",10.4,8.3
1961-10-11,12.71,"0",0.1,"0",14.3,"0",9,6.8
1961-10-12,5.58,"0",0,"0",15.5,"0",2,-1.5
1961-10-13,9.92,"0",0,"0",17.8,"0",5.7,2.6
1961-10-14,2.96,"0",0,"0",15.6,"0",8.8,0
1961-10-15,9,"0",0,"0",13.8,"0",2.5,2.3
1961-10-16,14.58,"0",2.2,"0",12.2,"0",6.5,4.1
1961-10-17,22.17,"0",0,"0",12.6,"0",8.8,7.3
1961-10-18,21.84,"0",0,"0",12.3,"0",6,4.5
1961-10-19,13.21,"0",1.1,"0",9.6,"0",5.7,3.5
1961-10-20,12.08,"0",0,"0",10.7,"0",2.5,-0.2
1961-10-21,7.5,"0",0.3,"0",13.7,"0",5,3.8
1961-10-22,17.58,"0",16.7,"0",12.6,"0",8.4,4.8
1961-10-23,16.21,"0",6.6,"0",14.5,"0",6,4.8
1961-10-24,17.96,"0",5.6,"0",11.5,"0",8.2,6.6
1961-10-25,18.34,"0",0.2,"0",11.1,"0",3.2,1.7
1961-10-26,9.79,"0",0,"0",13.3,"0",7.4,5.2
1961-10-27,7.79,"0",1.6,"0",11.6,"0",4.5,-0.4
1961-10-28,9.75,"0",0,"0",11.7,"0",3.7,1
1961-10-29,9.42,"0",0,"0",10.4,"0",1.5,-3.6
1961-10-30,14.88,"0",0,"0",12.5,"0",5,-1.1
1961-10-31,15.25,"0",0.5,"0",15.4,"0",8.3,8.4
1961-11-01,13.08,"0",0.3,"0",15.4,"0",7.7,3.1
1961-11-02,15.83,"0",0.5,"0",11.7,"0",8,5.4
1961-11-03,11.21,"0",0,"0",8.2,"0",2.2,-1.2
1961-11-04,8.5,"0",0,"0",10.6,"0",1.3,-2.4
1961-11-05,10.79,"0",0.4,"0",13,"2",3,NA
1961-11-06,8.21,"0",0,"2",11.3,"0",6.6,4.1
1961-11-07,9.29,"0",4.1,"0",13.2,"0",6.6,5.6
1961-11-08,6.58,"0",0,"0",10,"0",2.3,-1.6
1961-11-09,8.21,"0",0,"0",9.5,"1",-1,-6.3
1961-11-10,7.71,"0",0.3,"0",6.1,"1",-1.6,-6.6
1961-11-11,12.12,"0",0,"0",8.6,"1",-1.6,-5.5
1961-11-12,13.04,"0",0,"0",10.5,"0",0.8,-4.4
1961-11-13,21.87,"0",0,"0",10.5,"0",3.2,1.1
1961-11-14,15.71,"0",0,"0",9.4,"0",8,5.4
1961-11-15,6,"0",0,"0",8.7,"0",6.7,5.8
1961-11-16,2.29,"0",0.5,"0",8.3,"0",6.1,5
1961-11-17,3.13,"0",0.4,"0",9.6,"0",6,5.5
1961-11-18,9.29,"0",0,"0",9.6,"0",6.1,6.3
1961-11-19,9.33,"0",0,"0",9.4,"0",8.4,7.2
1961-11-20,13.04,"0",0,"0",9.5,"0",8.4,7.2
1961-11-21,7,"0",17.8,"0",10.2,"0",1.1,-2.7
1961-11-22,9.17,"0",0.7,"0",12.3,"0",1.6,NA
1961-11-23,15.41,"0",0,"0",8.7,"0",2.4,-0.5
1961-11-24,16.17,"0",0.9,"0",10,"0",3.3,NA
1961-11-25,11.83,"0",0,"0",7.7,"0",2.8,-0.2
1961-11-26,6.34,"0",8.6,"0",8.1,"1",-0.4,-5.4
1961-11-27,5.83,"0",1.2,"0",6.8,"2",0,NA
1961-11-28,12.79,"0",0.9,"0",8.3,"0",1.7,-1.7
1961-11-29,15.29,"0",12.5,"0",12.6,"0",3.5,4.2
1961-11-30,16.5,"0",5.8,"0",13.1,"0",6.6,6.7
1961-12-01,7.25,"0",0,"0",5.5,"0",4.6,3.3
1961-12-02,12.21,"0",3,"0",7.2,"0",0.3,-2.6
1961-12-03,7.67,"0",3.2,"0",7.4,"1",-3.2,-7.8
1961-12-04,13.79,"0",8.4,"0",13.1,"1",-2.2,NA
1961-12-05,17.83,"0",0.1,"2",5,"0",0.7,-1.4
1961-12-06,12.62,"0",0,"0",3.3,"1",-0.4,-3.1
1961-12-07,8.87,"0",4.5,"0",5.5,"1",-5.4,-10.4
1961-12-08,19.83,"0",4.2,"0",11.5,"1",-5,NA
1961-12-09,10.04,"0",3.4,"0",13.3,"0",5.1,0.1
1961-12-10,18.84,"0",4.6,"0",14,"0",5.1,0.4
1961-12-11,25.62,"0",0.4,"0",11.8,"0",9.5,8.3
1961-12-12,16.83,"0",3.3,"0",13.4,"0",9.1,7.5
1961-12-13,16.66,"0",0.2,"2",13.5,"0",7.8,2.5
1961-12-14,9.38,"0",0.1,"0",12.7,"1",-1.1,-5.5
1961-12-15,10.71,"0",0,"0",13.2,"1",-0.5,NA
1961-12-16,6.92,"0",0,"0",11.2,"0",7.8,3.3
1961-12-17,9.54,"0",0,"0",9,"0",4.8,1.6
1961-12-18,4.79,"0",0,"0",4.4,"1",-2.7,-8.3
1961-12-19,3.54,"0",0,"0",2.1,"1",-5,-8.5
1961-12-20,3.63,"0",0,"0",6.1,"1",-5.5,-9
1961-12-21,4.33,"0",0,"0",6.2,"1",-5,-6.7
1961-12-22,13.59,"0",0,"0",6.8,"1",-1.6,NA
1961-12-23,18.12,"0",0,"2",5,"0",3.8,3.4
1961-12-24,8.5,"0",0,"0",2.6,"1",-0.5,-5.1
1961-12-25,11.92,"0",0,"2",5,"1",-2.7,-10.7
1961-12-26,17.12,"0",0,"0",5,"0",0.7,-0.5
1961-12-27,2.92,"0",0,"0",3.3,"1",-3.2,-9.4
1961-12-28,8.96,"0",0,"0",3.8,"1",-5.2,-10
1961-12-29,15,"0",0,"2",3,"1",-5,-8.6
1961-12-30,17.29,"0",0,"0",1.7,"0",0.1,0
1961-12-31,10.04,"0",1.3,"0",1.5,"1",-11,-13.4
1962-01-01,10.41,"0",0,"0",1.2,"1",-10.7,NA
1962-01-02,8.46,"0",0,"1",-0.1,"1",-7.8,-10.5
1962-01-03,4.58,"0",0,"0",1.8,"1",-8.1,-8.8
1962-01-04,5.5,"0",0,"0",6,"1",-3.8,NA
1962-01-05,15.29,"0",1.8,"0",9.1,"1",-2.3,-7.1
1962-01-06,8.46,"0",2.1,"0",11.6,"0",4.6,2.4
1962-01-07,14.29,"0",0,"0",8.8,"0",4.5,0.6
1962-01-08,17.71,"0",6.8,"0",10.8,"0",6.2,3.3
1962-01-09,15.29,"0",0,"0",6.2,"0",3.1,0.5
1962-01-10,14.29,"0",4.2,"0",12.5,"0",1.7,-1.1
1962-01-11,25.96,"0",0.7,"0",7.6,"0",2.4,0
1962-01-12,23.54,"0",0.1,"0",7.6,"0",3.2,0.7
1962-01-13,19.7,"0",0,"0",5.5,"0",0,-1.2
1962-01-14,12.42,"0",0.1,"0",8.6,"0",0.5,-2.6
1962-01-15,20.38,"0",7.8,"0",11.5,"0",0.8,-0.3
1962-01-16,19.75,"0",2.7,"0",8.1,"0",2.6,-0.5
1962-01-17,22.79,"0",1,"0",8.6,"0",2.8,3.8
1962-01-18,12.46,"0",0,"0",8.3,"0",1.1,-2.7
1962-01-19,16.08,"0",1.1,"0",9.8,"0",2.2,1.6
1962-01-20,10.29,"0",1.1,"0",11.1,"0",4.2,1.8
1962-01-21,17.29,"0",2.4,"0",8.8,"0",5.5,3.8
1962-01-22,23.25,"0",0,"0",6.2,"0",1.8,-0.5
1962-01-23,12.71,"0",2.6,"0",11.2,"0",2.3,-0.4
1962-01-24,17.25,"0",1,"0",11.7,"0",3.3,1.1
1962-01-25,18.29,"0",0,"0",11.3,"0",7.2,5.4
1962-01-26,7.41,"0",0.9,"0",8.7,"0",7,4.7
1962-01-27,5.17,"0",0,"0",7.7,"0",4.6,1.8
1962-01-28,3.63,"0",0,"0",8.2,"0",5.6,5
1962-01-29,2.17,"0",0,"0",10.2,"0",5.5,4.5
1962-01-30,13.33,"0",0.3,"0",11.1,"0",1.1,-2.7
1962-01-31,22.42,"0",2,"0",12.2,"0",6.1,NA
1962-02-01,15.71,"0",0.3,"0",7.4,"0",1.6,-0.5
1962-02-02,13.17,"0",0.8,"0",10,"0",2.1,1.1
1962-02-03,15.96,"0",0,"0",10.7,"0",3.6,-1.7
1962-02-04,18.88,"0",4,"0",10.2,"0",3.8,1.1
1962-02-05,15.75,"0",0,"0",10.7,"0",3.3,0.4
1962-02-06,18.75,"0",2.6,"0",11.6,"0",3.8,1.8
